COD;DIRECCION;COMUNA;BARRIO;EAS;NIDO;NIDO_;MODALIDAD;CONTACTO;V_1;V_2;V_3;V_4;V_5;V_6;V_7;V_8;V_9;V_10;V_11;V_12;V_13;V_14;V_15;V_16;V_17;V_18;V_19;V_20;V_21
80;C 1 # 93 - 24 O;18;ALTOS DEL JORDAN;FUNDACOBA;NIDO A EXPLORAR;FDC_MF_NIDO A EXPLORAR;FAMILIAR;3017752375;54;54;100,0;37;17;54;0;16;21;3;0;0;0;40;0;0;6;8;14;1;7
81;C 27 # 36 - 10;11;EL JARDIN;FUNDACOBA;NIDO ALEGRIA;FDC_MF_NIDO ALEGRIA;FAMILIAR;3017752375;34;34;100,0;22;12;34;0;13;15;1;0;0;0;29;0;0;4;1;5;1;7
82;C 15 # 10A - 11;1;AGUACATAL;FUNDACOBA;NIDO ARCOIRIS 1;FDC_MF_NIDO ARCOIRIS 1;FAMILIAR;3017752375;18;18;100,0;12;6;18;0;5;6;5;0;0;0;16;0;0;2;0;2;1;7
83;C 1A # 78 - 23;18;PRADOS DEL SUR;FUNDACOBA;NIDO ARCOIRIS 2;FDC_MF_NIDO ARCOIRIS 2;FAMILIAR;3122433640;17;17;100,0;12;5;17;0;7;7;0;0;0;1;13;0;0;1;2;3;1;7
84;K 39A O # 2 - 49;20;BELEN;FUNDACOBA;NIDO BELEN;FDC_MF_NIDO BELEN;FAMILIAR;3017842540;50;50;100,0;23;27;50;0;11;20;18;0;0;0;49;3;0;1;0;1;1;7
85;C 7 # 54 - 95 O;20;BELISARIO CAICEDO;FUNDACOBA;NIDO BELISARIO CAICEDO;FDC_MF_NIDO BELISARIO CAICEDO;FAMILIAR;3017842540;50;49;98,0;26;23;49;0;22;14;7;1;0;1;42;0;0;2;4;6;1;7
86;C 13 # 53 - 112;20;BRISAS DE MAYO;FUNDACOBA;NIDO BRISAS DE MAYO;FDC_MF_NIDO BRISAS DE MAYO;FAMILIAR;3017842540;50;54;108,0;35;19;54;0;10;27;3;0;0;0;40;1;0;6;8;14;1;7
87;K 93A O # 3 - 18;18;LA ARBOLEDA;FUNDACOBA;NIDO BURBUJAS MAGICAS;FDC_MF_NIDO BURBUJAS MAGICAS;FAMILIAR;3122433640;50;50;100,0;26;24;50;0;22;18;1;0;2;0;39;0;1;5;3;9;1;5
88;K 28B # 72S - 121;21;POTRERO GRANDE;FUNDACOBA;NIDO CARITAS FELICES;FDC_MF_NIDO CARITAS FELICES;FAMILIAR;3136360087;50;50;100,0;37;13;50;0;15;21;0;0;3;0;33;0;1;7;6;14;1;6
89;C 23 # 10 - 65;9;OBRERO;FUNDACOBA;NIDO CONQUISTADORES DE LA VIDA;FDC_MF_NIDO CONQUISTADORES DE LA VIDA;FAMILIAR;3017752375;51;51;100,0;28;23;51;0;17;23;6;0;0;0;46;0;0;3;2;5;1;7
90;K 28C 3 44 - 15;12;EL SINDICAL;FUNDACOBA;NIDO CORAZONES TIERNOS;FDC_MF_NIDO CORAZONES TIERNOS;FAMILIAR;3136360087;50;50;100,0;25;25;50;0;20;22;1;0;6;0;37;0;0;3;4;7;1;6
91;C 8 # 52 - 42 O;20;EL CORTIJO;FUNDACOBA;NIDO CORTIJO;FDC_MF_NIDO CORTIJO;FAMILIAR;3017842540;50;50;100,0;35;15;50;0;18;17;4;0;0;1;38;3;1;9;1;11;1;7
92;K 14 # 11 - 62;3;EL CALVARIO;FUNDACOBA;NIDO EDUCANDO CON AMOR;FDC_MF_NIDO EDUCANDO CON AMOR;FAMILIAR;3017752375;51;49;96,1;32;17;49;0;25;15;5;0;0;0;45;1;2;1;1;4;1;7
93;C 2C # 75 - 10;18;LOS CHORROS;FUNDACOBA;NIDO EL JARDIN DE LOS SUEÑOS;FDC_MF_NIDO EL JARDIN DE LOS SUEÑOS;FAMILIAR;3122433640;54;54;100,0;34;20;54;0;20;23;3;0;0;0;46;0;0;5;3;8;1;7
94;C 2C # 75 - 10;18;LOS CHORROS;FUNDACOBA;NIDO EL RINCON DE LOS SABIOS;FDC_MF_NIDO EL RINCON DE LOS SABIOS;FAMILIAR;3122433640;54;53;98,1;37;16;53;0;19;19;5;0;1;0;42;0;0;7;3;10;1;7
95;K 94 # 4C - 65;18;MELENDEZ;FUNDACOBA;NIDO FAMILIAS AL PODER;FDC_MF_NIDO FAMILIAS AL PODER;FAMILIAR;3122433640;31;31;100,0;19;12;31;0;16;10;0;0;0;0;26;0;0;2;3;5;1;7
